,exit_time,pnl,exit_reason,symbol,window_start
0,2023-02-22,-0.036209426542231644,Time Exit,ETH/USDT,2023-01-01
1,2023-03-01,0.019514884233737675,Time Exit,ETH/USDT,2023-01-01
2,2023-03-22,0.0010971813987329655,Time Exit,ETH/USDT,2023-01-01
3,2023-03-29,0.045229970542771426,Time Exit,ETH/USDT,2023-01-01
0,2023-11-22,0.02052007258666629,Time Exit,ETH/USDT,2023-09-28
1,2023-11-29,0.0004142890257796996,Time Exit,ETH/USDT,2023-09-28
2,2023-12-06,-0.0046219124109713105,Time Exit,ETH/USDT,2023-09-28
3,2023-12-13,0.016121785078811676,Time Exit,ETH/USDT,2023-09-28
4,2023-12-20,-0.007444336359706099,Time Exit,ETH/USDT,2023-09-28
0,2024-02-21,0.007839676910284877,Time Exit,ETH/USDT,2023-12-27
1,2024-02-28,0.06558547788334496,Time Exit,ETH/USDT,2023-12-27
2,2024-03-06,0.053072964305786764,Time Exit,ETH/USDT,2023-12-27
3,2024-03-13,-0.01517250867211063,Time Exit,ETH/USDT,2023-12-27
4,2024-03-19,-0.10286283536213288,Stop Loss,ETH/USDT,2023-12-27
0,2024-11-13,-0.05514633987354146,Time Exit,ETH/USDT,2024-09-22
1,2024-11-20,-0.043429642919438786,Time Exit,ETH/USDT,2024-09-22
2,2024-11-27,0.0699343268206455,Time Exit,ETH/USDT,2024-09-22
3,2024-12-04,0.053339586315841375,Time Exit,ETH/USDT,2024-09-22
4,2024-12-11,0.031754454485461436,Time Exit,ETH/USDT,2024-09-22
5,2024-12-18,-0.09018359951414893,Time Exit,ETH/USDT,2024-09-22
0,2025-05-14,0.04593931423806008,Time Exit,ETH/USDT,2025-03-21
1,2025-05-21,0.00925651101956188,Time Exit,ETH/USDT,2025-03-21
2,2025-05-28,0.046038330803183015,Time Exit,ETH/USDT,2025-03-21
3,2025-06-04,5.3712286301783506e-05,Time Exit,ETH/USDT,2025-03-21
4,2025-06-11,0.03404849353519076,Time Exit,ETH/USDT,2025-03-21
0,2025-08-13,0.12485697567816613,Time Exit,ETH/USDT,2025-06-19
1,2025-08-19,-0.05514955713831792,Stop Loss,ETH/USDT,2025-06-19
2,2025-08-27,0.02985426073041096,Time Exit,ETH/USDT,2025-06-19
3,2025-09-03,0.03135172733596111,Time Exit,ETH/USDT,2025-06-19
4,2025-09-10,0.01018824436916537,Time Exit,ETH/USDT,2025-06-19
