,exit_time,pnl,window_start
0,2024-08-19 17:00:00,0.0032119177443160874,2024-08-16 17:00:00
1,2024-08-21 01:00:00,-0.001938366134967423,2024-08-16 17:00:00
2,2024-08-22 00:00:00,-0.0009900990099009554,2024-08-16 17:00:00
3,2024-08-22 08:00:00,0.0021342159324355655,2024-08-16 17:00:00
4,2024-08-23 16:00:00,-0.015262401885912874,2024-08-16 17:00:00
5,2024-08-25 08:00:00,-0.004634235459679238,2024-08-16 17:00:00
6,2024-08-26 05:00:00,0.002827651377480628,2024-08-16 17:00:00
7,2024-08-27 08:00:00,0.020033358516458405,2024-08-16 17:00:00
8,2024-08-30 00:00:00,-0.018252137068063355,2024-08-16 17:00:00
9,2024-08-30 16:00:00,0.02406071655041219,2024-08-16 17:00:00
10,2024-09-01 00:00:00,0.007471496597022544,2024-08-16 17:00:00
11,2024-09-02 09:00:00,0.004306697533327997,2024-08-16 17:00:00
12,2024-09-03 09:00:00,0.0030931898072031044,2024-08-16 17:00:00
13,2024-09-04 08:00:00,-0.002136645133289887,2024-08-16 17:00:00
14,2024-09-06 20:00:00,0.08177048070412991,2024-08-16 17:00:00
15,2024-09-08 11:00:00,-0.011932038492720896,2024-08-16 17:00:00
16,2024-09-09 08:00:00,0.008050852965773011,2024-08-16 17:00:00
17,2024-09-10 16:00:00,-0.0018573947796531622,2024-08-16 17:00:00
18,2024-09-11 16:00:00,0.012880916724158194,2024-08-16 17:00:00
19,2024-09-12 00:00:00,0.0025100786690190123,2024-08-16 17:00:00
20,2024-09-14 00:00:00,-0.0300541696183525,2024-08-16 17:00:00
0,2024-09-19 00:00:00,0.03862359854668915,2024-09-15 17:00:00
1,2024-09-19 17:00:00,-0.032192294863242175,2024-09-15 17:00:00
2,2024-09-22 10:00:00,0.007796296368628905,2024-09-15 17:00:00
3,2024-09-23 00:00:00,-0.00884793988845762,2024-09-15 17:00:00
4,2024-09-23 08:00:00,0.02008118829439051,2024-09-15 17:00:00
5,2024-09-25 09:00:00,-0.00668152291728256,2024-09-15 17:00:00
6,2024-09-27 08:00:00,-0.006244222679167757,2024-09-15 17:00:00
7,2024-09-28 00:00:00,0.011019872515935461,2024-09-15 17:00:00
8,2024-09-29 08:00:00,-0.010524506103167016,2024-09-15 17:00:00
9,2024-09-30 00:00:00,0.005728357245283384,2024-09-15 17:00:00
10,2024-10-01 17:00:00,0.03748670105508178,2024-09-15 17:00:00
11,2024-10-05 00:00:00,0.02104270431169138,2024-09-15 17:00:00
12,2024-10-05 16:00:00,0.008382986619384337,2024-09-15 17:00:00
13,2024-10-07 08:00:00,0.018715710774356947,2024-09-15 17:00:00
14,2024-10-07 17:00:00,-0.004420848559573828,2024-09-15 17:00:00
15,2024-10-09 16:00:00,0.0012916548402092678,2024-09-15 17:00:00
16,2024-10-12 09:00:00,0.017598102451000776,2024-09-15 17:00:00
17,2024-10-14 00:00:00,-0.004743432638387336,2024-09-15 17:00:00
18,2024-10-15 13:00:00,-0.05806906495337835,2024-09-15 17:00:00
0,2024-11-06 08:00:00,0.04864984506418764,2024-10-15 17:00:00
1,2024-11-12 08:00:00,0.04392834253975038,2024-10-15 17:00:00
2,2024-11-13 00:00:00,0.05010465877730479,2024-10-15 17:00:00
3,2024-11-13 12:00:00,-0.02611371855043469,2024-10-15 17:00:00
0,2024-11-16 09:00:00,-0.001874128032197689,2024-11-14 17:00:00
1,2024-11-18 16:00:00,-0.019636305117476736,2024-11-14 17:00:00
2,2024-11-19 08:00:00,0.011524044600619244,2024-11-14 17:00:00
3,2024-11-21 17:00:00,0.08422194166585739,2024-11-14 17:00:00
4,2024-11-22 17:00:00,0.015761643582034284,2024-11-14 17:00:00
5,2024-11-23 08:00:00,0.00821710390477018,2024-11-14 17:00:00
6,2024-11-24 01:00:00,-0.0190278606344995,2024-11-14 17:00:00
